Manufacturer,Model Year,Regulatory Class,Vehicle Type,Production ,Production Share,MPG (Avg. City/HW),CO2 g/mi (Avg. City/HW),Footprint (sq. ft.)
Ford,1975,Truck,Truck SUV,9,0.001,8.99,988.02,
GM,1975,Truck,Truck SUV,77,0.008,9.94,894.26,
Toyota,1975,Car,Car SUV,6,0.001,10.24,868.00,
Ford,1975,Truck,All Truck,644,0.064,10.67,832.60,
Ford,1975,Truck,Pickup,482,0.048,10.70,830.71,
Ford,1975,Truck,Minivan/Van,153,0.015,10.71,829.41,
Stellantis,1975,Truck,Minivan/Van,178,0.018,10.73,828.33,
All,1975,Truck,Truck SUV,177,0.017,11.02,806.39,
Stellantis,1975,Truck,Pickup,58,0.006,11.08,801.98,
All,1975,Truck,Minivan/Van,457,0.045,11.11,800.19,
All,1975,Car,Car SUV,10,0.001,11.13,798.52,
Stellantis,1975,Truck,All Truck,327,0.032,11.22,791.74,
Ford,1975,All,All,2500,0.249,11.50,772.98,
All,1975,Truck,All Truck,1977,0.193,11.63,763.86,
Ford,1975,Car,All Car,1856,0.185,11.81,752.28,
Ford,1975,Car,Sedan/Wagon,1856,0.185,11.81,752.28,
All,1975,Truck,Pickup,1343,0.131,11.91,745.88,
GM,1975,Truck,All Truck,890,0.089,11.96,743.05,
GM,1975,Truck,Pickup,689,0.069,12.19,728.84,
GM,1975,Truck,Minivan/Van,124,0.012,12.21,727.66,
Stellantis,1975,Car,Car SUV,1,0,12.37,718.29,
Stellantis,1975,Truck,Truck SUV,91,0.009,12.45,713.54,
GM,1975,All,All,4462,0.444,12.66,701.98,
GM,1975,Car,Sedan/Wagon,3569,0.355,12.85,691.76,
GM,1975,Car,All Car,3571,0.355,12.85,691.75,
Stellantis,1975,All,All,1824,0.181,13.01,683.06,
All,1975,All,All,10224,1,13.06,680.60,
GM,1975,Car,Car SUV,3,0,13.24,671.39,
All,1975,Car,All Car,8247,0.807,13.45,660.64,
All,1975,Car,Sedan/Wagon,8237,0.806,13.46,660.47,
Stellantis,1975,Car,All Car,1497,0.149,13.48,659.34,
Stellantis,1975,Car,Sedan/Wagon,1496,0.149,13.48,659.28,
Mazda,1975,Truck,Pickup,4,0,14.37,618.27,
Mazda,1975,Truck,All Truck,4,0,14.37,618.27,
Mazda,1975,All,All,69,0.007,14.57,609.82,
Mazda,1975,Car,Sedan/Wagon,65,0.006,14.59,609.29,
Mazda,1975,Car,All Car,65,0.006,14.59,609.29,
BMW,1975,Car,All Car,20,0.002,14.69,604.82,
BMW,1975,Car,Sedan/Wagon,20,0.002,14.69,604.82,
BMW,1975,All,All,20,0.002,14.69,604.82,
Mercedes,1975,Car,All Car,45,0.005,14.71,623.75,
Mercedes,1975,Car,Sedan/Wagon,45,0.005,14.71,623.75,
Mercedes,1975,All,All,45,0.005,14.71,623.75,
Toyota,1975,Truck,Minivan/Van,1,0,17.46,509.04,
VW,1975,Truck,All Truck,1,0,17.61,504.79,
VW,1975,Truck,Minivan/Van,1,0,17.61,504.79,
Toyota,1975,Truck,All Truck,32,0.003,18.15,489.72,
Toyota,1975,Truck,Pickup,32,0.003,18.16,489.33,
Toyota,1975,All,All,323,0.032,18.40,482.86,
Toyota,1975,Car,All Car,290,0.029,18.43,482.10,
Toyota,1975,Car,Sedan/Wagon,284,0.028,18.77,473.56,
Nissan,1975,Truck,Pickup,78,0.008,20.13,441.48,
Nissan,1975,Truck,All Truck,78,0.008,20.13,441.48,
Nissan,1975,All,All,331,0.033,21.06,421.93,
Nissan,1975,Car,Sedan/Wagon,253,0.025,21.37,415.91,
Nissan,1975,Car,All Car,253,0.025,21.37,415.91,
Subaru,1975,Car,All Car,42,0.004,22.52,394.55,
Subaru,1975,Car,Sedan/Wagon,42,0.004,22.52,394.55,
Subaru,1975,All,All,42,0.004,22.52,394.55,
VW,1975,All,All,336,0.033,22.60,393.22,
VW,1975,Car,All Car,335,0.033,22.62,392.88,
VW,1975,Car,Sedan/Wagon,335,0.033,22.62,392.88,
Honda,1975,Car,All Car,102,0.01,26.73,332.45,
Honda,1975,Car,Sedan/Wagon,102,0.01,26.73,332.45,
Honda,1975,All,All,102,0.01,26.73,332.45,
Toyota,1976,Car,Car SUV,7,0.001,9.20,966.29,
Toyota,1976,Truck,Truck SUV,1,0,9.96,892.52,
All,1976,Car,Car SUV,11,0.001,10.58,839.91,
GM,1976,Truck,Truck SUV,112,0.009,11.03,805.59,
Ford,1976,Truck,Minivan/Van,192,0.016,11.45,776.25,
Ford,1976,Truck,Truck SUV,14,0.001,11.65,762.92,
Ford,1976,Truck,All Truck,840,0.069,11.70,759.89,
All,1976,Truck,Truck SUV,232,0.019,11.77,755.12,
Ford,1976,Truck,Pickup,634,0.052,11.77,754.86,
All,1976,Truck,Minivan/Van,502,0.041,11.78,754.16,
GM,1976,Truck,Minivan/Van,148,0.012,11.91,746.34,
Stellantis,1976,Truck,Pickup,163,0.013,11.92,745.33,
Stellantis,1976,Truck,Minivan/Van,160,0.013,12.06,737.10,
Stellantis,1976,Truck,All Truck,428,0.035,12.16,730.71,
GM,1976,Truck,All Truck,1202,0.099,12.18,729.54,
All,1976,Truck,All Truck,2600,0.211,12.25,725.64,
GM,1976,Truck,Pickup,942,0.077,12.38,717.84,
All,1976,Truck,Pickup,1866,0.151,12.44,714.30,
Stellantis,1976,Truck,Truck SUV,105,0.009,12.73,698.27,
Ford,1976,All,All,2974,0.244,13.36,665.34,
GM,1976,All,All,5777,0.474,13.67,650.34,
Stellantis,1976,All,All,2132,0.175,13.85,641.79,
Stellantis,1976,Car,Car SUV,1,0,14.08,631.20,
GM,1976,Car,Sedan/Wagon,4572,0.375,14.12,629.53,
GM,1976,Car,All Car,4575,0.375,14.12,629.52,
Ford,1976,Car,All Car,2134,0.175,14.15,628.12,
Ford,1976,Car,Sedan/Wagon,2134,0.175,14.15,628.12,
All,1976,All,All,12334,1,14.22,625.02,
GM,1976,Car,Car SUV,3,0,14.33,620.30,
Stellantis,1976,Car,All Car,1704,0.14,14.35,619.46,
Stellantis,1976,Car,Sedan/Wagon,1703,0.14,14.35,619.45,
All,1976,Car,All Car,9734,0.789,14.86,598.14,
All,1976,Car,Sedan/Wagon,9722,0.788,14.87,597.86,
Mazda,1976,Truck,Pickup,6,0,15.54,571.94,
Mazda,1976,Truck,All Truck,6,0,15.54,571.94,
BMW,1976,Car,All Car,27,0.002,15.65,567.96,
BMW,1976,Car,Sedan/Wagon,27,0.002,15.65,567.96,
BMW,1976,All,All,27,0.002,15.65,567.96,
Mercedes,1976,Car,All Car,43,0.004,15.85,590.10,
Mercedes,1976,Car,Sedan/Wagon,43,0.004,15.85,590.10,
Mercedes,1976,All,All,43,0.004,15.85,590.10,
VW,1976,Truck,All Truck,2,0,17.01,522.53,
VW,1976,Truck,Minivan/Van,2,0,17.01,522.53,
Mazda,1976,All,All,41,0.003,18.17,489.11,
Toyota,1976,Truck,All Truck,43,0.003,18.34,484.53,
Mazda,1976,Car,Sedan/Wagon,35,0.003,18.69,475.53,
Mazda,1976,Car,All Car,35,0.003,18.69,475.53,
Toyota,1976,Truck,Pickup,41,0.003,18.88,470.60,
Toyota,1976,All,All,397,0.033,20.46,434.33,
Toyota,1976,Car,All Car,354,0.029,20.75,428.29,
Nissan,1976,Truck,Pickup,80,0.007,20.92,424.75,
Nissan,1976,Truck,All Truck,80,0.007,20.92,424.75,
Toyota,1976,Car,Sedan/Wagon,347,0.028,21.31,417.12,
Nissan,1976,All,All,350,0.029,22.42,396.37,
Nissan,1976,Car,Sedan/Wagon,270,0.022,22.91,387.94,
Nissan,1976,Car,All Car,270,0.022,22.91,387.94,
VW,1976,All,All,251,0.021,23.39,379.97,
VW,1976,Car,All Car,249,0.02,23.44,379.08,
VW,1976,Car,Sedan/Wagon,249,0.02,23.44,379.08,
Subaru,1976,Car,All Car,49,0.004,25.27,351.72,
Subaru,1976,Car,Sedan/Wagon,49,0.004,25.27,351.72,
Subaru,1976,All,All,49,0.004,25.27,351.72,
Honda,1976,Car,All Car,151,0.012,27.78,319.93,
Honda,1976,Car,Sedan/Wagon,151,0.012,27.78,319.93,
Honda,1976,All,All,151,0.012,27.78,319.93,
Toyota,1977,Truck,Truck SUV,1,0,10.79,823.51,
Toyota,1977,Car,Car SUV,15,0.001,11.67,761.64,
Stellantis,1977,Truck,Minivan/Van,175,0.013,11.70,759.84,
All,1977,Car,Car SUV,19,0.001,12.16,730.68,
Ford,1977,Truck,Truck SUV,29,0.002,12.29,723.03,
Stellantis,1977,Truck,Pickup,167,0.012,12.31,722.13,
Stellantis,1977,Truck,All Truck,463,0.033,12.34,720.39,
GM,1977,Truck,Truck SUV,114,0.008,12.41,715.90,
All,1977,Truck,Minivan/Van,514,0.036,12.51,710.22,
GM,1977,Truck,Minivan/Van,138,0.01,12.68,701.13,
GM,1977,Truck,All Truck,1221,0.087,12.82,692.99,
All,1977,Truck,Truck SUV,264,0.019,12.85,691.83,
GM,1977,Truck,Pickup,968,0.069,12.90,689.13,
Ford,1977,Truck,Minivan/Van,199,0.014,13.16,675.43,
All,1977,Truck,All Truck,2805,0.199,13.28,668.96,
Ford,1977,Truck,All Truck,945,0.068,13.43,661.49,
Stellantis,1977,Truck,Truck SUV,120,0.009,13.46,660.32,
All,1977,Truck,Pickup,2026,0.143,13.56,655.50,
Ford,1977,Truck,Pickup,717,0.051,13.57,655.12,
Stellantis,1977,All,All,2334,0.167,13.79,644.68,
Ford,1977,All,All,3210,0.23,13.86,641.33,
Stellantis,1977,Car,Car SUV,2,0,13.93,638.08,
Ford,1977,Car,All Car,2265,0.162,14.04,632.92,
Ford,1977,Car,Sedan/Wagon,2265,0.162,14.04,632.92,
Stellantis,1977,Car,All Car,1872,0.134,14.20,625.96,
Stellantis,1977,Car,Sedan/Wagon,1870,0.134,14.20,625.95,
GM,1977,All,All,6599,0.473,14.61,608.08,
All,1977,All,All,14123,1,15.07,590.00,
GM,1977,Car,Sedan/Wagon,5377,0.385,15.09,588.81,
GM,1977,Car,All Car,5379,0.385,15.09,588.81,
GM,1977,Car,Car SUV,2,0,15.28,581.66,
All,1977,Car,All Car,11318,0.801,15.59,570.43,
All,1977,Car,Sedan/Wagon,11300,0.8,15.59,570.17,
Mercedes,1977,Car,All Car,49,0.003,16.32,573.24,
Mercedes,1977,Car,Sedan/Wagon,49,0.003,16.32,573.24,
Mercedes,1977,All,All,49,0.003,16.32,573.24,
BMW,1977,Car,All Car,30,0.002,16.88,526.35,
BMW,1977,Car,Sedan/Wagon,30,0.002,16.88,526.35,
BMW,1977,All,All,30,0.002,16.88,526.35,
VW,1977,Truck,All Truck,2,0,18.92,469.68,
VW,1977,Truck,Minivan/Van,2,0,18.92,469.68,
Mazda,1977,Truck,Pickup,6,0,20.89,425.44,
Mazda,1977,Truck,All Truck,6,0,20.89,425.44,
Nissan,1977,Truck,Pickup,100,0.007,21.28,417.60,
Nissan,1977,Truck,All Truck,100,0.007,21.28,417.60,
Nissan,1977,All,All,488,0.035,22.71,391.26,
Toyota,1977,Truck,All Truck,69,0.005,22.79,390.01,
Nissan,1977,Car,Sedan/Wagon,388,0.028,23.11,384.49,
Nissan,1977,Car,All Car,388,0.028,23.11,384.49,
Toyota,1977,Truck,Pickup,68,0.005,23.14,384.00,
Toyota,1977,All,All,577,0.041,23.58,376.87,
Toyota,1977,Car,All Car,508,0.036,23.69,375.09,
Toyota,1977,Car,Sedan/Wagon,493,0.035,24.46,363.36,
Mazda,1977,All,All,56,0.004,24.49,362.94,
VW,1977,All,All,319,0.023,24.56,364.25,
VW,1977,Car,All Car,316,0.023,24.61,363.52,
VW,1977,Car,Sedan/Wagon,316,0.023,24.61,363.52,
Mazda,1977,Car,Sedan/Wagon,51,0.004,24.96,356.04,
Mazda,1977,Car,All Car,51,0.004,24.96,356.04,
Subaru,1977,Car,All Car,81,0.006,25.70,345.84,
Subaru,1977,Car,Sedan/Wagon,81,0.006,25.70,345.84,
Subaru,1977,All,All,81,0.006,25.70,345.84,
Honda,1977,Car,All Car,224,0.016,30.24,293.84,
Honda,1977,Car,Sedan/Wagon,224,0.016,30.24,293.84,
Honda,1977,All,All,224,0.016,30.24,293.84,
Toyota,1978,Truck,Truck SUV,2,0,9.83,903.99,
Toyota,1978,Car,Car SUV,13,0.001,11.07,802.75,
Ford,1978,Truck,Truck SUV,70,0.005,11.23,791.17,
Stellantis,1978,Truck,Minivan/Van,172,0.012,11.39,780.56,
All,1978,Car,Car SUV,16,0.001,11.57,767.92,
GM,1978,Truck,Truck SUV,132,0.009,11.89,747.30,
GM,1978,Truck,Minivan/Van,226,0.016,11.95,743.69,
All,1978,Truck,Minivan/Van,625,0.043,12.08,735.67,
Stellantis,1978,Truck,All Truck,523,0.037,12.25,725.69,
All,1978,Truck,Truck SUV,364,0.025,12.29,723.32,
Stellantis,1978,Truck,Pickup,191,0.013,12.32,721.89,
GM,1978,Truck,All Truck,1408,0.098,12.32,722.66,
GM,1978,Truck,Pickup,1049,0.073,12.46,715.02,
Ford,1978,Truck,Minivan/Van,224,0.016,12.78,695.58,
All,1978,Truck,All Truck,3257,0.225,12.95,686.91,
Ford,1978,Truck,All Truck,1119,0.078,13.19,673.58,
Stellantis,1978,Truck,Truck SUV,160,0.011,13.25,670.95,
All,1978,Truck,Pickup,2268,0.157,13.33,667.62,
Ford,1978,Truck,Pickup,825,0.058,13.51,657.66,
Stellantis,1978,Car,Car SUV,1,0,13.93,637.91,
Ford,1978,All,All,3774,0.264,14.94,594.78,
GM,1978,Car,Car SUV,2,0,14.95,594.59,
Stellantis,1978,All,All,2016,0.141,14.98,593.24,
GM,1978,All,All,6598,0.461,15.18,585.97,
Ford,1978,Car,All Car,2655,0.186,15.83,561.58,
Ford,1978,Car,Sedan/Wagon,2655,0.186,15.83,561.58,
All,1978,All,All,14448,1,15.84,561.62,
Mercedes,1978,Car,All Car,47,0.003,15.90,588.60,
Mercedes,1978,Car,Sedan/Wagon,47,0.003,15.90,588.60,
Mercedes,1978,All,All,47,0.003,15.90,588.60,
GM,1978,Car,All Car,5190,0.363,16.20,548.90,
GM,1978,Car,Sedan/Wagon,5189,0.363,16.20,548.88,
Stellantis,1978,Car,All Car,1493,0.104,16.25,546.81,
Stellantis,1978,Car,Sedan/Wagon,1491,0.104,16.25,546.73,
BMW,1978,Car,All Car,33,0.002,16.37,542.94,
BMW,1978,Car,Sedan/Wagon,33,0.002,16.37,542.94,
BMW,1978,All,All,33,0.002,16.37,542.94,
All,1978,Car,All Car,11191,0.775,16.94,525.16,
All,1978,Car,Sedan/Wagon,11175,0.773,16.95,524.81,
VW,1978,Truck,All Truck,3,0,17.05,521.26,
VW,1978,Truck,Minivan/Van,3,0,17.05,521.26,
Toyota,1978,Truck,All Truck,82,0.006,20.23,439.37,
Toyota,1978,Truck,Pickup,79,0.006,20.91,424.97,
Nissan,1978,Truck,Pickup,95,0.007,21.72,409.24,
Nissan,1978,Truck,All Truck,95,0.007,21.72,409.24,
Toyota,1978,All,All,588,0.041,21.92,405.41,
Toyota,1978,Car,All Car,506,0.035,22.22,399.93,
Nissan,1978,All,All,515,0.036,22.57,393.81,
Nissan,1978,Car,Sedan/Wagon,421,0.029,22.77,390.34,
Nissan,1978,Car,All Car,421,0.029,22.77,390.34,
Toyota,1978,Car,Sedan/Wagon,493,0.034,22.84,389.12,
VW,1978,All,All,294,0.021,23.11,388.84,
VW,1978,Car,All Car,291,0.02,23.19,387.61,
VW,1978,Car,Sedan/Wagon,291,0.02,23.19,387.61,
Subaru,1978,Truck,All Truck,23,0.002,23.22,382.81,
Subaru,1978,Truck,Pickup,23,0.002,23.22,382.81,
Subaru,1978,All,All,117,0.008,25.00,355.42,
Subaru,1978,Car,All Car,94,0.007,25.49,348.63,
Subaru,1978,Car,Sedan/Wagon,94,0.007,25.49,348.63,
Mazda,1978,Truck,Pickup,5,0,26.94,329.83,
Mazda,1978,Truck,All Truck,5,0,26.94,329.83,
Honda,1978,Car,All Car,251,0.018,28.63,310.45,
Honda,1978,Car,Sedan/Wagon,251,0.018,28.63,310.45,
Honda,1978,All,All,251,0.018,28.63,310.45,
Mazda,1978,All,All,79,0.006,29.94,296.79,
Mazda,1978,Car,Sedan/Wagon,75,0.005,30.16,294.71,
Mazda,1978,Car,All Car,75,0.005,30.16,294.71,
Ford,1979,Truck,Truck SUV,70,0.005,9.33,952.96,
GM,1979,Truck,Truck SUV,159,0.012,9.52,933.56,
Ford,1979,Truck,Minivan/Van,159,0.012,10.31,862.29,
All,1979,Truck,Truck SUV,385,0.028,10.53,844.02,
All,1979,Truck,Minivan/Van,481,0.035,11.48,773.82,
Stellantis,1979,Truck,Minivan/Van,142,0.01,11.72,757.99,
Toyota,1979,Car,Car SUV,4,0,11.74,757.29,
Ford,1979,Truck,All Truck,1030,0.075,11.93,744.80,
GM,1979,Truck,All Truck,1294,0.094,12.31,724.97,
GM,1979,Truck,Minivan/Van,170,0.012,12.43,715.11,
Stellantis,1979,Truck,All Truck,487,0.036,12.44,714.83,
All,1979,Truck,All Truck,3072,0.221,12.52,711.10,
Ford,1979,Truck,Pickup,801,0.058,12.64,703.26,
Stellantis,1979,Truck,Pickup,211,0.015,12.70,700.44,
Stellantis,1979,Truck,Truck SUV,134,0.01,12.85,691.58,
GM,1979,Truck,Pickup,964,0.07,12.91,692.23,
All,1979,Truck,Pickup,2207,0.159,13.21,674.28,
All,1979,Car,Car SUV,16,0.001,14.27,622.95,
Ford,1979,All,All,3568,0.26,14.77,601.67,
GM,1979,All,All,6406,0.467,15.29,583.25,
All,1979,All,All,13882,1,15.91,559.69,
VW,1979,Truck,All Truck,8,0.001,15.95,557.09,
VW,1979,Truck,Minivan/Van,8,0.001,15.95,557.09,
Stellantis,1979,All,All,1807,0.132,16.01,555.09,
GM,1979,Car,All Car,5112,0.373,16.29,547.37,
GM,1979,Car,Sedan/Wagon,5112,0.373,16.29,547.37,
Ford,1979,Car,All Car,2537,0.185,16.35,543.56,
Ford,1979,Car,Sedan/Wagon,2537,0.185,16.35,543.56,
Toyota,1979,Truck,All Truck,108,0.008,16.62,534.61,
Toyota,1979,Truck,Pickup,107,0.008,16.65,533.81,
BMW,1979,Car,All Car,38,0.003,16.66,533.45,
BMW,1979,Car,Sedan/Wagon,38,0.003,16.66,533.45,
BMW,1979,All,All,38,0.003,16.66,533.45,
Stellantis,1979,Car,Car SUV,10,0.001,17.22,516.04,
All,1979,Car,All Car,10810,0.779,17.24,516.67,
All,1979,Car,Sedan/Wagon,10794,0.778,17.25,516.51,
Mercedes,1979,Car,All Car,56,0.004,17.41,548.03,
Mercedes,1979,Car,Sedan/Wagon,56,0.004,17.41,548.03,
Mercedes,1979,All,All,56,0.004,17.41,548.03,
Stellantis,1979,Car,All Car,1320,0.096,17.91,496.14,
Stellantis,1979,Car,Sedan/Wagon,1310,0.095,17.92,495.99,
Toyota,1979,All,All,564,0.041,19.49,455.90,
Nissan,1979,Truck,Pickup,79,0.006,19.70,451.11,
Nissan,1979,Truck,All Truck,79,0.006,19.70,451.11,
Toyota,1979,Car,All Car,457,0.033,20.32,437.32,
Toyota,1979,Car,Sedan/Wagon,453,0.033,20.45,434.48,
Mazda,1979,Car,Sedan/Wagon,123,0.009,21.86,406.57,
Mazda,1979,Car,All Car,123,0.009,21.86,406.57,
Mazda,1979,All,All,129,0.009,22.01,403.85,
Nissan,1979,All,All,479,0.035,22.26,399.20,
Nissan,1979,Car,Sedan/Wagon,400,0.029,22.85,388.97,
Nissan,1979,Car,All Car,400,0.029,22.85,388.97,
Subaru,1979,Truck,All Truck,39,0.003,23.46,378.89,
Subaru,1979,Truck,Pickup,39,0.003,23.46,378.89,
VW,1979,All,All,213,0.016,23.87,379.83,
VW,1979,Car,All Car,204,0.015,24.37,372.50,
VW,1979,Car,Sedan/Wagon,204,0.015,24.37,372.50,
Subaru,1979,All,All,132,0.01,24.63,360.79,
Honda,1979,Car,All Car,323,0.024,24.66,360.33,
Honda,1979,Car,Sedan/Wagon,323,0.024,24.66,360.33,
Honda,1979,All,All,323,0.024,24.66,360.33,
Subaru,1979,Car,All Car,94,0.007,25.15,353.29,
Subaru,1979,Car,Sedan/Wagon,94,0.007,25.15,353.29,
Mazda,1979,Truck,Pickup,6,0,25.67,346.19,
Mazda,1979,Truck,All Truck,6,0,25.67,346.19,
Toyota,1980,Truck,Truck SUV,2,0,11.74,756.92,
Ford,1980,Truck,Truck SUV,39,0.003,11.85,750.10,
GM,1980,Truck,Truck SUV,52,0.005,12.35,719.37,
All,1980,Truck,Truck SUV,184,0.016,13.19,675.58,
Ford,1980,Truck,Minivan/Van,90,0.008,13.79,644.66,
Stellantis,1980,Truck,Minivan/Van,55,0.005,14.07,631.60,
All,1980,Truck,Minivan/Van,242,0.021,14.14,628.66,
GM,1980,Truck,Minivan/Van,81,0.007,14.23,624.66,
Stellantis,1980,Truck,Truck SUV,79,0.007,14.28,622.50,
Ford,1980,Truck,All Truck,576,0.052,14.75,602.34,
GM,1980,Truck,All Truck,657,0.059,15.20,589.81,
Ford,1980,Truck,Pickup,448,0.04,15.29,581.10,
Stellantis,1980,Truck,All Truck,277,0.025,15.44,575.54,
GM,1980,Truck,Pickup,524,0.047,15.72,571.49,
All,1980,Truck,All Truck,1863,0.165,15.78,565.37,
VW,1980,Truck,Minivan/Van,16,0.001,16.24,547.28,
All,1980,Truck,Pickup,1437,0.127,16.52,540.59,
Stellantis,1980,Truck,Pickup,143,0.013,16.82,528.29,
Ford,1980,All,All,2084,0.187,17.69,502.34,
GM,1980,All,All,5165,0.464,18.13,493.23,
Toyota,1980,Truck,All Truck,145,0.013,18.18,488.85,
Toyota,1980,Truck,Pickup,143,0.013,18.31,485.32,
Stellantis,1980,All,All,1266,0.114,18.34,484.62,
GM,1980,Car,All Car,4508,0.405,18.66,479.15,
GM,1980,Car,Sedan/Wagon,4508,0.405,18.66,479.15,
Ford,1980,Car,All Car,1508,0.135,19.15,464.14,
Ford,1980,Car,Sedan/Wagon,1508,0.135,19.15,464.14,
All,1980,All,All,11306,1,19.16,465.94,
Stellantis,1980,Car,All Car,989,0.089,19.35,459.19,
Stellantis,1980,Car,Sedan/Wagon,989,0.089,19.36,459.15,
All,1980,Car,All Car,9444,0.835,20.01,446.32,
All,1980,Car,Sedan/Wagon,9443,0.835,20.01,446.32,
Mercedes,1980,Car,All Car,52,0.005,20.30,480.33,
Mercedes,1980,Car,Sedan/Wagon,52,0.005,20.30,480.33,
Mercedes,1980,All,All,52,0.005,20.30,480.33,
BMW,1980,Car,All Car,36,0.003,21.26,418.00,
BMW,1980,Car,Sedan/Wagon,36,0.003,21.26,418.00,
BMW,1980,All,All,36,0.003,21.26,418.00,
Nissan,1980,Truck,Pickup,126,0.011,21.30,417.24,
Nissan,1980,Truck,All Truck,126,0.011,21.30,417.24,
VW,1980,Truck,All Truck,42,0.004,21.51,422.63,
Toyota,1980,All,All,723,0.065,22.07,402.71,
Mazda,1980,Car,Sedan/Wagon,179,0.016,22.18,400.75,
Mazda,1980,Car,All Car,179,0.016,22.18,400.75,
Subaru,1980,Truck,All Truck,15,0.001,22.19,400.45,
Subaru,1980,Truck,Pickup,15,0.001,22.19,400.45,
Mazda,1980,All,All,189,0.017,22.34,397.77,
Toyota,1980,Car,Sedan/Wagon,578,0.052,23.32,381.12,
Toyota,1980,Car,All Car,578,0.052,23.32,381.12,
Subaru,1980,All,All,148,0.013,23.80,373.42,
Subaru,1980,Car,All Car,133,0.012,23.99,370.39,
Subaru,1980,Car,Sedan/Wagon,133,0.012,23.99,370.39,
Honda,1980,Car,All Car,350,0.031,24.80,358.36,
Honda,1980,Car,Sedan/Wagon,350,0.031,24.80,358.36,
Honda,1980,All,All,350,0.031,24.80,358.36,
Nissan,1980,All,All,663,0.06,25.37,350.32,
Mazda,1980,Truck,Pickup,10,0.001,25.62,346.94,
Mazda,1980,Truck,All Truck,10,0.001,25.62,346.94,
VW,1980,All,All,459,0.041,26.04,353.78,
Nissan,1980,Car,Sedan/Wagon,537,0.048,26.56,334.62,
Nissan,1980,Car,All Car,537,0.048,26.56,334.62,
VW,1980,Car,All Car,417,0.037,26.60,346.84,
VW,1980,Car,Sedan/Wagon,417,0.037,26.60,346.84,
VW,1980,Truck,Pickup,26,0.002,26.66,348.46,
Toyota,1981,Truck,Truck SUV,2,0,12.16,730.54,
Ford,1981,Truck,Truck SUV,36,0.003,12.84,691.98,
GM,1981,Truck,Truck SUV,36,0.003,13.75,646.38,
All,1981,Truck,Truck SUV,136,0.013,14.30,621.40,
Ford,1981,Truck,Minivan/Van,93,0.009,14.31,621.11,
Stellantis,1981,Truck,Minivan/Van,51,0.005,14.83,599.39,
All,1981,Truck,Minivan/Van,245,0.023,14.84,598.77,
GM,1981,Truck,Minivan/Van,90,0.009,15.33,579.79,
Stellantis,1981,Truck,Truck SUV,62,0.006,15.69,566.32,
VW,1981,Truck,Minivan/Van,11,0.001,15.77,563.40,
Ford,1981,Truck,All Truck,643,0.062,15.85,560.74,
Stellantis,1981,Truck,All Truck,212,0.02,16.02,554.88,
Ford,1981,Truck,Pickup,515,0.049,16.43,540.79,
GM,1981,Truck,All Truck,643,0.062,16.52,541.78,
Stellantis,1981,Truck,Pickup,99,0.009,16.94,524.67,
GM,1981,Truck,Pickup,518,0.05,16.99,528.01,
All,1981,Truck,All Truck,1821,0.172,17.09,522.63,
All,1981,Truck,Pickup,1440,0.136,17.88,500.36,
Ford,1981,All,All,2015,0.193,18.41,482.79,
GM,1981,All,All,4666,0.447,19.25,466.08,
GM,1981,Car,All Car,4023,0.386,19.78,453.97,
GM,1981,Car,Sedan/Wagon,4023,0.386,19.78,453.97,
Ford,1981,Car,All Car,1372,0.132,19.91,446.25,
Ford,1981,Car,Sedan/Wagon,1372,0.132,19.91,446.25,
All,1981,All,All,10554,1,20.52,436.04,
Stellantis,1981,All,All,1265,0.121,20.87,425.74,
All,1981,Car,All Car,8734,0.828,21.42,417.99,
All,1981,Car,Sedan/Wagon,8733,0.827,21.42,417.98,
Mercedes,1981,Car,All Car,54,0.005,21.70,451.07,
Mercedes,1981,Car,Sedan/Wagon,54,0.005,21.70,451.07,
Mercedes,1981,All,All,54,0.005,21.70,451.07,
BMW,1981,Car,All Car,37,0.004,21.75,408.51,
BMW,1981,Car,Sedan/Wagon,37,0.004,21.75,408.51,
BMW,1981,All,All,37,0.004,21.75,408.51,
Stellantis,1981,Car,All Car,1053,0.101,22.23,399.77,
Stellantis,1981,Car,Sedan/Wagon,1053,0.101,22.23,399.73,
Toyota,1981,Truck,All Truck,132,0.013,22.29,404.23,
Toyota,1981,Truck,Pickup,130,0.012,22.55,399.78,
Nissan,1981,Truck,Pickup,108,0.01,23.56,383.94,
Nissan,1981,Truck,All Truck,108,0.01,23.56,383.94,
Subaru,1981,Truck,All Truck,18,0.002,24.10,368.71,
Subaru,1981,Truck,Pickup,18,0.002,24.10,368.71,
VW,1981,Truck,All Truck,45,0.004,25.13,373.66,
Toyota,1981,All,All,712,0.068,25.44,350.43,
Nissan,1981,All,All,594,0.057,25.47,350.61,
Nissan,1981,Car,Sedan/Wagon,486,0.047,25.93,343.22,
Nissan,1981,Car,All Car,486,0.047,25.93,343.22,
Honda,1981,Car,All Car,396,0.038,26.15,339.79,
Honda,1981,Car,Sedan/Wagon,396,0.038,26.15,339.79,
Honda,1981,All,All,396,0.038,26.15,339.79,
Toyota,1981,Car,Sedan/Wagon,580,0.056,26.28,338.22,
Toyota,1981,Car,All Car,580,0.056,26.28,338.22,
Subaru,1981,All,All,168,0.016,26.31,337.75,
Mazda,1981,Truck,Pickup,20,0.002,26.36,337.13,
Mazda,1981,Truck,All Truck,20,0.002,26.36,337.13,
Mazda,1981,All,All,193,0.019,26.41,336.44,
